game_id,commence_time,in_play,bookmaker,last_update,home_team,away_team,market,label,description,price,point
677dbbb6ad96fc5f5b36bb20b43139dd,10/30/2025,FALSE,BetMGM,10/30/2025,Miami Dolphins,Baltimore Ravens,h2h,Miami Dolphins,,350,
677dbbb6ad96fc5f5b36bb20b43139dd,10/30/2025,FALSE,BetMGM,10/30/2025,Miami Dolphins,Baltimore Ravens,spreads,Baltimore Ravens,,-110,-7.5
677dbbb6ad96fc5f5b36bb20b43139dd,10/30/2025,FALSE,BetMGM,10/30/2025,Miami Dolphins,Baltimore Ravens,spreads,Miami Dolphins,,100,7.5
677dbbb6ad96fc5f5b36bb20b43139dd,10/30/2025,FALSE,BetMGM,10/30/2025,Miami Dolphins,Baltimore Ravens,totals,Over,,-110,51.5
677dbbb6ad96fc5f5b36bb20b43139dd,10/30/2025,FALSE,BetMGM,10/30/2025,Miami Dolphins,Baltimore Ravens,totals,Under,,-110,51.5
677dbbb6ad96fc5f5b36bb20b43139dd,10/30/2025,FALSE,LowVig.ag,10/30/2025,Miami Dolphins,Baltimore Ravens,h2h,Baltimore Ravens,,-440,
677dbbb6ad96fc5f5b36bb20b43139dd,10/30/2025,FALSE,LowVig.ag,10/30/2025,Miami Dolphins,Baltimore Ravens,h2h,Miami Dolphins,,344,
677dbbb6ad96fc5f5b36bb20b43139dd,10/30/2025,FALSE,LowVig.ag,10/30/2025,Miami Dolphins,Baltimore Ravens,spreads,Baltimore Ravens,,-105,-7.5
677dbbb6ad96fc5f5b36bb20b43139dd,10/30/2025,FALSE,LowVig.ag,10/30/2025,Miami Dolphins,Baltimore Ravens,spreads,Miami Dolphins,,-105,7.5
677dbbb6ad96fc5f5b36bb20b43139dd,10/30/2025,FALSE,LowVig.ag,10/30/2025,Miami Dolphins,Baltimore Ravens,totals,Over,,-107,51
677dbbb6ad96fc5f5b36bb20b43139dd,10/30/2025,FALSE,LowVig.ag,10/30/2025,Miami Dolphins,Baltimore Ravens,totals,Under,,-107,51
677dbbb6ad96fc5f5b36bb20b43139dd,10/30/2025,FALSE,BetOnline.ag,10/30/2025,Miami Dolphins,Baltimore Ravens,h2h,Baltimore Ravens,,-440,
677dbbb6ad96fc5f5b36bb20b43139dd,10/30/2025,FALSE,BetOnline.ag,10/30/2025,Miami Dolphins,Baltimore Ravens,h2h,Miami Dolphins,,344,
